step,epoch,layer,weight_delta_abs,weight_delta_rel,grad_cossim_train_vs_safety,grad_cossim_whole_model,cossim_intra_math,cossim_intra_safety,train_loss,math_val_loss,safety_val_loss
20,1,layer_0.attn_o,0.026684468612074852,0.001309104920024637,0.14495718479156494,0.0012876633554697037,0.023837938750511968,0.1104592964053154,1.4911929011344909,1.438098281621933,1.271267019212246
20,1,layer_0.mlp_down,0.0712413638830185,0.002188370143309469,-0.0019107655389234424,0.0012876633554697037,0.015951652149669825,0.06464394181966782,1.4911929011344909,1.438098281621933,1.271267019212246
20,1,layer_1.attn_o,0.026471273973584175,0.0010968588347569277,0.006086667999625206,0.0012876633554697037,0.03927899468690157,0.11292461641132831,1.4911929011344909,1.438098281621933,1.271267019212246
20,1,layer_1.mlp_down,0.09100451320409775,0.004841442850591197,-0.003388989483937621,0.0012876633554697037,0.010792204341851176,0.06574844624847173,1.4911929011344909,1.438098281621933,1.271267019212246
20,1,layer_2.attn_o,0.024346210062503815,0.0010698078090556865,-0.020370274782180786,0.0012876633554697037,0.019977677892893553,0.10586057826876641,1.4911929011344909,1.438098281621933,1.271267019212246
20,1,layer_2.mlp_down,0.08738204836845398,0.004744119977462424,-0.02007468417286873,0.0012876633554697037,0.030929158127401025,0.09826461039483547,1.4911929011344909,1.438098281621933,1.271267019212246
20,1,layer_3.attn_o,0.024416090920567513,0.0010847923122886361,-0.007954621687531471,0.0012876633554697037,0.028133942186832427,0.11506898142397404,1.4911929011344909,1.438098281621933,1.271267019212246
20,1,layer_3.mlp_down,0.08815204352140427,0.004019594692070745,-0.016327250748872757,0.0012876633554697037,0.025264942354988308,0.07730073854327202,1.4911929011344909,1.438098281621933,1.271267019212246
20,1,layer_4.attn_o,0.028008965775370598,0.0015231257601812454,0.003785669570788741,0.0012876633554697037,0.03578281500376761,0.1022496048361063,1.4911929011344909,1.438098281621933,1.271267019212246
20,1,layer_4.mlp_down,0.08130811154842377,0.002570261697187069,-0.01967017538845539,0.0012876633554697037,0.034298768965527415,0.11129043884575367,1.4911929011344909,1.438098281621933,1.271267019212246
20,1,layer_5.attn_o,0.028179002925753593,0.0011156666363296478,-0.04652765020728111,0.0012876633554697037,0.025031574815511704,0.21439398005604743,1.4911929011344909,1.438098281621933,1.271267019212246
20,1,layer_5.mlp_down,0.092095285654068,0.0037144144240302338,0.008355752564966679,0.0012876633554697037,0.016169374505989254,0.06498177144676447,1.4911929011344909,1.438098281621933,1.271267019212246
20,1,layer_6.attn_o,0.028399599716067314,0.0015446893244186956,-0.0024108923971652985,0.0012876633554697037,0.031599193019792436,0.10487905759364366,1.4911929011344909,1.438098281621933,1.271267019212246
20,1,layer_6.mlp_down,0.09467916935682297,0.004052331178726684,0.01227438636124134,0.0012876633554697037,0.03385628825053573,0.10368795022368431,1.4911929011344909,1.438098281621933,1.271267019212246
20,1,layer_7.attn_o,0.02438632771372795,0.0007714745668040465,0.004326241090893745,0.0012876633554697037,0.05187292858026922,0.17170143723487855,1.4911929011344909,1.438098281621933,1.271267019212246
20,1,layer_7.mlp_down,0.088808074593544,0.002904405931627827,0.02660464495420456,0.0012876633554697037,0.040020005544647574,0.12876292429864405,1.4911929011344909,1.438098281621933,1.271267019212246
20,1,layer_8.attn_o,0.025347154587507248,0.0008080002369043625,0.011012393981218338,0.0012876633554697037,0.05427436586469412,0.16564616858959197,1.4911929011344909,1.438098281621933,1.271267019212246
20,1,layer_8.mlp_down,0.09466157853603363,0.0030693033783101673,0.008921272121369839,0.0012876633554697037,0.014408191805705428,0.17848782911896705,1.4911929011344909,1.438098281621933,1.271267019212246
20,1,layer_9.attn_o,0.02625642530620098,0.0008751939227008297,0.008626309223473072,0.0012876633554697037,0.021570356958545745,0.26499247923493385,1.4911929011344909,1.438098281621933,1.271267019212246
20,1,layer_9.mlp_down,0.12268265336751938,0.006220607378374373,0.021480374038219452,0.0012876633554697037,0.026566832838580013,0.23555730655789375,1.4911929011344909,1.438098281621933,1.271267019212246
20,1,layer_10.attn_o,0.03632103651762009,0.0019755874618657423,0.012897775508463383,0.0012876633554697037,0.025569179467856883,0.30778255462646487,1.4911929011344909,1.438098281621933,1.271267019212246
20,1,layer_10.mlp_down,0.10298573225736618,0.0030753184233666213,0.046883534640073776,0.0012876633554697037,0.02584967502625659,0.3312180146574974,1.4911929011344909,1.438098281621933,1.271267019212246
20,1,layer_11.attn_o,0.03389323130249977,0.0014118308732200982,-0.05637236684560776,0.0012876633554697037,0.03791997539810836,0.4780732303857803,1.4911929011344909,1.438098281621933,1.271267019212246
20,1,layer_11.mlp_down,0.12475499510765076,0.006965103625908085,0.020342499017715454,0.0012876633554697037,0.02893721591681242,0.3270509645342827,1.4911929011344909,1.438098281621933,1.271267019212246
20,1,layer_12.attn_o,0.028047487139701843,0.0010106129373437882,0.003154213773086667,0.0012876633554697037,0.016060094954445957,0.2932110071182251,1.4911929011344909,1.438098281621933,1.271267019212246
20,1,layer_12.mlp_down,0.10031197965145111,0.003727989596655072,-0.007302360609173775,0.0012876633554697037,0.021611245535314082,0.20382942110300065,1.4911929011344909,1.438098281621933,1.271267019212246
20,1,layer_13.attn_o,0.02779308333992958,0.0014431737980269235,-0.0026945732533931732,0.0012876633554697037,0.013211259344825522,0.21319042816758155,1.4911929011344909,1.438098281621933,1.271267019212246
20,1,layer_13.mlp_down,0.1022464856505394,0.004864345534749602,-0.003287516301497817,0.0012876633554697037,0.019614478282164782,0.18022457808256148,1.4911929011344909,1.438098281621933,1.271267019212246
20,1,layer_14.attn_o,0.02360028214752674,0.000824341186767875,-0.009704618714749813,0.0012876633554697037,0.01770767315174453,0.23991927057504653,1.4911929011344909,1.438098281621933,1.271267019212246
20,1,layer_14.mlp_down,0.10046231001615524,0.004501295799997201,-0.0007907805847935379,0.0012876633554697037,0.02792667392641306,0.2300078421831131,1.4911929011344909,1.438098281621933,1.271267019212246
